ticker    ,sector                ,region                     ,revenue_growth_score,est_revision_1m_score,est_revision_3m_score,revenue_beat_score,revenue_momentum_score,momentum_grade
NVDA      ,Information Technology,United States and Canada   ,100.0               ,50.005               ,50.12733333333333    ,0                 ,57.5                  ,C
GOOGL     ,Communication Services,United States and Canada   ,100.0               ,50.00750000000001    ,50.209333333333326   ,0                 ,57.5                  ,C
AAPL      ,Information Technology,United States and Canada   ,33.33333333333333   ,50.0005              ,50.10566666666667    ,0                 ,34.2                  ,F
MSFT      ,Information Technology,United States and Canada   ,100.0               ,50.00750000000001    ,50.15500000000001    ,0                 ,57.5                  ,C
AMZN      ,Consumer Discretionary,United States and Canada   ,100.0               ,50.005               ,50.236000000000004   ,0                 ,57.5                  ,C
AVGO      ,Information Technology,United States and Canada   ,33.33333333333333   ,50.05499999999999    ,50.336999999999996   ,0                 ,34.2                  ,F
META      ,Communication Services,United States and Canada   ,100.0               ,50.074               ,49.702               ,0                 ,57.5                  ,C
TSLA      ,Consumer Discretionary,United States and Canada   ,0.0                 ,49.980999999999995   ,49.90500000000001    ,0                 ,22.5                  ,F
WMT       ,Consumer Staples      ,United States and Canada   ,100.0               ,50.002500000000005   ,50.035               ,0                 ,57.5                  ,C
LLY       ,Health Care           ,United States and Canada   ,100.0               ,50.0                 ,50.148333333333326   ,0                 ,57.5                  ,C
ORCL      ,Information Technology,United States and Canada   ,100.0               ,49.974999999999994   ,50.269666666666666   ,0                 ,57.5                  ,C
XOM       ,Energy                ,United States and Canada   ,0.0                 ,49.9735              ,50.07033333333334    ,100               ,42.5                  ,D
JNJ       ,Health Care           ,United States and Canada   ,100.0               ,49.976000000000006   ,49.98566666666667    ,0                 ,57.5                  ,C
COST      ,Consumer Staples      ,United States and Canada   ,100.0               ,50.018499999999996   ,50.02799999999999    ,0                 ,57.5                  ,C
PLTR      ,Information Technology,United States and Canada   ,100.0               ,50.0035              ,50.391               ,0                 ,57.6                  ,C
NFLX      ,Communication Services,United States and Canada   ,100.0               ,49.999               ,49.88266666666667    ,0                 ,57.5                  ,C
ABBV      ,Health Care           ,United States and Canada   ,100.0               ,49.897999999999996   ,49.91133333333334    ,0                 ,57.5                  ,C
